Date-Time,Elapsed Time(s),Concentration (#/cm3),Counts,Dilution Factor,Aerosol Humidity (%),Aerosol Temperature (°C),Error,
2025-05-20 17:33:01,326288,1198.71,6111,1,0,0,,
2025-05-20 17:33:02,326289,3629.32,18396,1,0,0,,
2025-05-20 17:33:03,326290,6570.68,33090,1,0,0,,
2025-05-20 17:33:04,326291,9060.55,45394,1,0,0,,
2025-05-20 17:33:05,326292,10696.67,53412,1,0,0,,
2025-05-20 17:33:06,326293,11468.00,57173,1,0,0,,
2025-05-20 17:33:07,326294,11637.91,57999,1,0,0,,
2025-05-20 17:33:08,326295,11566.76,57651,1,0,0,,
2025-05-20 17:33:09,326296,11189.29,55810,1,0,0,,
2025-05-20 17:33:10,326297,10368.09,51799,1,0,0,,
2025-05-20 17:33:11,326298,9286.63,46497,1,0,0,,
2025-05-20 17:33:12,326299,7967.11,40001,1,0,0,,
2025-05-20 17:33:13,326300,6877.28,34610,1,0,0,,
2025-05-20 17:33:14,326301,6178.76,31144,1,0,0,,
2025-05-20 17:33:15,326302,5663.98,28582,1,0,0,,
2025-05-20 17:33:16,326303,5421.20,27372,1,0,0,,
2025-05-20 17:33:17,326304,5339.54,26965,1,0,0,,
2025-05-20 17:33:18,326305,5195.16,26244,1,0,0,,
2025-05-20 17:33:19,326306,5172.70,26132,1,0,0,,
2025-05-20 17:33:20,326307,5103.61,25787,1,0,0,,
2025-05-20 17:33:21,326308,5093.63,25737,1,0,0,,
2025-05-20 17:33:22,326309,5058.11,25560,1,0,0,,
2025-05-20 17:33:23,326310,5056.69,25553,1,0,0,,
2025-05-20 17:33:24,326311,5069.60,25617,1,0,0,,
2025-05-20 17:33:25,326312,4974.07,25140,1,0,0,,
2025-05-20 17:33:26,326313,4944.69,24993,1,0,0,,
2025-05-20 17:33:27,326314,4867.68,24608,1,0,0,,
2025-05-20 17:33:28,326315,4854.66,24543,1,0,0,,
2025-05-20 17:33:29,326316,4880.68,24673,1,0,0,,
2025-05-20 17:33:30,326317,4889.86,24719,1,0,0,,
2025-05-20 17:33:31,326318,4834.47,24442,1,0,0,,
2025-05-20 17:33:32,326319,4802.66,24283,1,0,0,,
2025-05-20 17:33:33,326320,4760.34,24071,1,0,0,,
2025-05-20 17:33:34,326321,4777.08,24155,1,0,0,,
