v,Dd,zend,Ls1,q,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61
-1.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7141858227720242e-283,-9.068669877450404e-131,1.4377638024683815e-51,-3.2737069521908216e-6,6.201949889192705e-6,-2.9311277823898265e-6,2.920411290891134e-9,8.138424841606999e-6,0.09256225156422537,0.8902563849649757,0.017173055561461828,1.6944892670533473e-7,3.0964222775642444e-15,5.600595674219984e-32,1.0305807255919898e-66,9.054421498945505e-152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1448775399431374e-281,1.406938906525525e-128,1.357048942246944e-51,-2.8644994320450608e-6,5.416412446684544e-6,-2.5518951272201675e-6,4.317134368230856e-11,1.9861514668209504e-5,0.13757300747347143,0.8555556864540661,0.006851429488364218,1.500837049871487e-8,8.262736466188739e-17,5.467828617828016e-34,4.0204251075933846e-69,1.4834666205410839e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0927143506973e-281,1.0287930826429416e-128,1.0077540881863219e-51,-2.1662560009862894e-6,4.095391590064903e-6,-1.929050847090135e-6,-3.714498561299735e-11,3.0378157988075872e-5,0.16616133573552583,0.8299154687868545,0.003892813379831597,3.8922029144399625e-9,1.5049897099409076e-17,7.346023031345695e-35,3.8705165376261366e-70,9.979039220126696e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.184585281594102e-282,5.783588292298891e-131,9.502620479797668e-52,-2.174924930988516e-6,4.111581869502914e-6,-1.936672202726603e-6,8.08077549184379e-11,3.872602182264847e-5,0.1852978398603079,0.8119422250037825,0.002721207223314016,1.825229391564428e-9,5.1676246112853665e-18,1.8433992956853246e-35,7.048762925949421e-71,1.3131785399906812e-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.278422401891501e-282,1.9376320666717562e-129,1.1344731963837375e-51,-2.57625839705382e-6,4.870308630107899e-6,-2.2940541232453743e-6,9.86009950542104e-11,4.6428099433793186e-5,0.20100005024382336,0.7969223065156001,0.002031214082686673,9.637453886909363e-10,2.0084034672691606e-18,5.300607291553089e-36,1.4969620313751615e-71,2.055943983712348e-157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.303068100457011e-282,-5.387269681096081e-131,-1.769556722148244e-52,4.0951260857641593e-7,-7.741596091493382e-7,3.6465123441491756e-7,2.11959006346361e-10,8.346791165222845e-5,0.26080877427919014,0.7384675833115417,0.0006401742196216571,6.180152665867505e-11,3.0404720952500784e-20,2.0073054189319973e-38,1.4269297805876366e-74,4.9223510349782045e-161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-50.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732537392780655e-280,3.2443912101017097e-128,5.230276530741359e-52,-1.0917751618831842e-6,2.0640164284193947e-6,-9.722105253099837e-7,1.9071710749460046e-9,0.0003349910988339181,0.4666927413494989,0.5329681089017658,4.1567119882966515e-6,9.811172535994363e-17,3.643495358022687e-29,2.7186921266551825e-50,2.2999548711618225e-89,9.347011291991589e-179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.174791008631952e-280,8.437823325566051e-128,-3.2538644783661615e-52,9.842160904457405e-7,-1.8604806718575454e-6,8.763394415615962e-7,4.036600521469391e-9,0.0005323314853087976,0.5536299736190372,0.4458373773757043,3.1340848847711203e-7,8.400365553574628e-20,7.361711950209115e-34,1.6339031398637813e-56,4.1479301184157847e-97,4.9612580700186654e-188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1000.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.941691486103991e-278,1.6140738362094454e-126,1.2943726554577747e-51,-8.116643791502683e-7,1.5349999546519275e-6,-7.230286192893712e-7,9.766072577655934e-9,0.0009251602748129358,0.6698471728325153,0.32922764645696334,1.0362678855517425e-8,3.4142746096375144e-23,5.8457226152151614e-39,2.910372918379984e-63,1.6764771115319004e-105,4.5109275708954534e-198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1.0e-8,18.7,7.61,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.011535818321276e-226,-8.359818797459314e-89,6.600796586439328e-31,-4.80838386578468e-7,2.901737780523029e-6,-7.313685834512261e-6,9.852552276486931e-6,-7.420131404378296e-6,2.820078381624234e-6,0.36671307428086497,0.6324999032788828,0.0007866609465898939,1.7808493649193198e-9,3.984718948116219e-24,9.298132882483678e-57,1.0701683760390632e-139,1.130153757e-315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
